W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/surrogate-data-collection/runs/i2g89uny
[monitor] 0/1,000,000 (0.0%) | FPS cur=0 roll=0 | ETA 277.8h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 0/1,000,000 (0.0%) | FPS cur=0 roll=0 | ETA 277.8h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 0/1,000,000 (0.0%) | FPS cur=0 roll=0 | ETA 277.8h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 0/1,000,000 (0.0%) | FPS cur=0 roll=0 | ETA 277.8h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 500/1,000,000 (0.1%) | FPS cur=17 roll=3 | ETA 83.3h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 7,000/1,000,000 (0.7%) | FPS cur=217 roll=39 | ETA 7.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 8,000/1,000,000 (0.8%) | FPS cur=33 roll=38 | ETA 7.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 8,000/1,000,000 (0.8%) | FPS cur=0 roll=33 | ETA 8.3h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 8,000/1,000,000 (0.8%) | FPS cur=0 roll=30 | ETA 9.3h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 12,000/1,000,000 (1.2%) | FPS cur=133 roll=40 | ETA 6.9h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 14,500/1,000,000 (1.5%) | FPS cur=83 roll=44 | ETA 6.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 16,000/1,000,000 (1.6%) | FPS cur=50 roll=44 | ETA 6.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 16,000/1,000,000 (1.6%) | FPS cur=0 roll=41 | ETA 6.7h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 17,000/1,000,000 (1.7%) | FPS cur=33 roll=40 | ETA 6.7h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 19,500/1,000,000 (1.9%) | FPS cur=83 roll=43 | ETA 6.3h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 22,500/1,000,000 (2.2%) | FPS cur=100 roll=47 | ETA 5.8h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 24,000/1,000,000 (2.4%) | FPS cur=50 roll=47 | ETA 5.8h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 24,000/1,000,000 (2.4%) | FPS cur=0 roll=44 | ETA 6.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 25,500/1,000,000 (2.5%) | FPS cur=50 roll=45 | ETA 6.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 28,500/1,000,000 (2.9%) | FPS cur=100 roll=47 | ETA 5.7h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 31,000/1,000,000 (3.1%) | FPS cur=83 roll=49 | ETA 5.5h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 32,000/1,000,000 (3.2%) | FPS cur=33 roll=48 | ETA 5.5h | NaN=0 respawns=0 | disk 0.0GB used, 44.7GB free
[monitor] 32,500/1,000,000 (3.2%) | FPS cur=17 roll=47 | ETA 5.7h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 34,000/1,000,000 (3.4%) | FPS cur=50 roll=47 | ETA 5.7h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 38,000/1,000,000 (3.8%) | FPS cur=133 roll=51 | ETA 5.3h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
