W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/surrogate-data-collection/runs/4rg2te4h
[monitor] 0/50,000,000 (0.0%) | FPS cur=0 roll=0 | ETA 13888.9h | NaN=0 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 12/50,000,000 (0.0%) | FPS cur=0 roll=0 | ETA 13888.9h | NaN=0 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 380/50,000,000 (0.0%) | FPS cur=12 roll=4 | ETA 3296.3h | NaN=0 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 1,024/50,000,000 (0.0%) | FPS cur=21 roll=9 | ETA 1631.3h | NaN=0 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 1,632/50,000,000 (0.0%) | FPS cur=20 roll=11 | ETA 1278.9h | NaN=0 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 2,244/50,000,000 (0.0%) | FPS cur=20 roll=12 | ETA 1115.8h | NaN=1 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 2,940/50,000,000 (0.0%) | FPS cur=23 roll=14 | ETA 993.8h | NaN=2 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 3,584/50,000,000 (0.0%) | FPS cur=21 roll=15 | ETA 931.9h | NaN=2 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 4,236/50,000,000 (0.0%) | FPS cur=22 roll=16 | ETA 886.8h | NaN=2 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 4,860/50,000,000 (0.0%) | FPS cur=21 roll=16 | ETA 858.7h | NaN=3 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 5,584/50,000,000 (0.0%) | FPS cur=24 roll=17 | ETA 822.1h | NaN=4 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 6,416/50,000,000 (0.0%) | FPS cur=28 roll=18 | ETA 780.5h | NaN=4 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 7,224/50,000,000 (0.0%) | FPS cur=27 roll=18 | ETA 750.8h | NaN=4 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 8,104/50,000,000 (0.0%) | FPS cur=29 roll=19 | ETA 720.9h | NaN=5 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 8,972/50,000,000 (0.0%) | FPS cur=29 roll=20 | ETA 697.5h | NaN=6 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 9,888/50,000,000 (0.0%) | FPS cur=31 roll=21 | ETA 675.1h | NaN=6 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 10,752/50,000,000 (0.0%) | FPS cur=29 roll=21 | ETA 659.7h | NaN=6 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 11,740/50,000,000 (0.0%) | FPS cur=33 roll=22 | ETA 639.6h | NaN=7 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 12,604/50,000,000 (0.0%) | FPS cur=29 roll=22 | ETA 628.8h | NaN=7 respawns=0 | disk 0.0GB used, 41.9GB free
[monitor] 13,556/50,000,000 (0.0%) | FPS cur=32 roll=23 | ETA 615.5h | NaN=7 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 14,580/50,000,000 (0.0%) | FPS cur=34 roll=23 | ETA 600.8h | NaN=7 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 15,512/50,000,000 (0.0%) | FPS cur=31 roll=23 | ETA 591.6h | NaN=8 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 16,464/50,000,000 (0.0%) | FPS cur=32 roll=24 | ETA 582.7h | NaN=8 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 17,392/50,000,000 (0.0%) | FPS cur=31 roll=24 | ETA 575.6h | NaN=8 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 18,324/50,000,000 (0.0%) | FPS cur=31 roll=24 | ETA 569.1h | NaN=8 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 19,260/50,000,000 (0.0%) | FPS cur=31 roll=25 | ETA 563.0h | NaN=8 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 20,240/50,000,000 (0.0%) | FPS cur=33 roll=25 | ETA 556.4h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 21,272/50,000,000 (0.0%) | FPS cur=34 roll=25 | ETA 549.0h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 22,236/50,000,000 (0.0%) | FPS cur=32 roll=26 | ETA 543.9h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 23,104/50,000,000 (0.0%) | FPS cur=29 roll=26 | ETA 541.6h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 24,020/50,000,000 (0.0%) | FPS cur=31 roll=26 | ETA 538.2h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 24,956/50,000,000 (0.0%) | FPS cur=31 roll=26 | ETA 534.7h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 25,848/50,000,000 (0.1%) | FPS cur=30 roll=26 | ETA 532.4h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 26,736/50,000,000 (0.1%) | FPS cur=30 roll=26 | ETA 530.3h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 27,664/50,000,000 (0.1%) | FPS cur=31 roll=26 | ETA 527.6h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 28,620/50,000,000 (0.1%) | FPS cur=32 roll=26 | ETA 524.5h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 29,532/50,000,000 (0.1%) | FPS cur=30 roll=27 | ETA 522.4h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 30,416/50,000,000 (0.1%) | FPS cur=29 roll=27 | ETA 521.0h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 31,200/50,000,000 (0.1%) | FPS cur=26 roll=27 | ETA 521.2h | NaN=9 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 31,996/50,000,000 (0.1%) | FPS cur=26 roll=27 | ETA 521.3h | NaN=10 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 32,724/50,000,000 (0.1%) | FPS cur=24 roll=27 | ETA 522.4h | NaN=11 respawns=0 | disk 0.0GB used, 41.8GB free
